ID,Name,Email,PreferredGame,SkillLevel,Role,PersonalityScore,PersonalityType
P036,Participant_36,user36@university.edu,Chess,9,STRATEGIST,65,THINKER
P037,Participant_37,user37@university.edu,DOTA 2,8,ATTACKER,100,LEADER
P038,Participant_38,user38@university.edu,Valorant,1,DEFENDER,78,BALANCED
P039,Participant_39,user39@university.edu,FIFA,5,SUPPORTER,66,THINKER
P040,Participant_40,user40@university.edu,Chess,9,COORDINATOR,100,LEADER
P041,Participant_41,user41@university.edu,Basketball,5,STRATEGIST,70,BALANCED
P042,Participant_42,user42@university.edu,DOTA 2,7,ATTACKER,53,THINKER
P043,Participant_43,user43@university.edu,DOTA 2,2,DEFENDER,100,LEADER
P044,Participant_44,user44@university.edu,FIFA,6,SUPPORTER,71,BALANCED
P045,Participant_45,user45@university.edu,Chess,2,COORDINATOR,68,THINKER
P046,Participant_46,user46@university.edu,CS:GO,5,STRATEGIST,96,LEADER
P047,Participant_47,user47@university.edu,DOTA 2,10,ATTACKER,78,BALANCED
P048,Participant_48,user48@university.edu,Valorant,6,DEFENDER,65,THINKER
P049,Participant_49,user49@university.edu,Basketball,3,SUPPORTER,95,LEADER
P050,Participant_50,user50@university.edu,Basketball,5,COORDINATOR,70,BALANCED
P051,Participant_51,user51@university.edu,FIFA,2,STRATEGIST,57,THINKER
P052,Participant_52,user52@university.edu,FIFA,2,ATTACKER,99,LEADER
P053,Participant_53,user53@university.edu,DOTA 2,7,DEFENDER,71,BALANCED
P054,Participant_54,user54@university.edu,Valorant,8,SUPPORTER,69,THINKER
P055,Participant_55,user55@university.edu,Chess,8,COORDINATOR,90,LEADER
P056,Participant_56,user56@university.edu,Basketball,4,STRATEGIST,86,BALANCED
P057,Participant_57,user57@university.edu,CS:GO,7,ATTACKER,54,THINKER
P058,Participant_58,user58@university.edu,Valorant,3,DEFENDER,95,LEADER
P059,Participant_59,user59@university.edu,DOTA 2,4,SUPPORTER,79,BALANCED
P060,Participant_60,user60@university.edu,CS:GO,4,COORDINATOR,57,THINKER
P061,Participant_61,user61@university.edu,CS:GO,7,STRATEGIST,98,LEADER
P062,Participant_62,user62@university.edu,Basketball,6,ATTACKER,85,BALANCED
P063,Participant_63,user63@university.edu,Chess,8,DEFENDER,60,THINKER
P064,Participant_64,user64@university.edu,CS:GO,6,SUPPORTER,92,LEADER
P065,Participant_65,user65@university.edu,DOTA 2,7,COORDINATOR,77,BALANCED
P066,Participant_66,user66@university.edu,Chess,1,STRATEGIST,67,THINKER
P067,Participant_67,user67@university.edu,Basketball,1,ATTACKER,92,LEADER
P068,Participant_68,user68@university.edu,Chess,1,DEFENDER,80,BALANCED
P069,Participant_69,user69@university.edu,CS:GO,5,SUPPORTER,68,THINKER
P070,Participant_70,user70@university.edu,Basketball,1,COORDINATOR,96,LEADER
P071,Participant_71,user71@university.edu,Chess,8,STRATEGIST,70,BALANCED
P072,Participant_72,user72@university.edu,DOTA 2,5,ATTACKER,61,THINKER
P073,Participant_73,user73@university.edu,DOTA 2,8,DEFENDER,100,LEADER
P074,Participant_74,user74@university.edu,FIFA,3,SUPPORTER,82,BALANCED
P075,Participant_75,user75@university.edu,Valorant,8,COORDINATOR,53,THINKER
P076,Participant_76,user76@university.edu,FIFA,7,STRATEGIST,91,LEADER
P077,Participant_77,user77@university.edu,FIFA,2,ATTACKER,89,BALANCED
P078,Participant_78,user78@university.edu,FIFA,6,DEFENDER,51,THINKER
P079,Participant_79,user79@university.edu,Chess,5,SUPPORTER,97,LEADER
P080,Participant_80,user80@university.edu,Basketball,1,COORDINATOR,82,BALANCED
P081,Participant_81,user81@university.edu,FIFA,10,STRATEGIST,52,THINKER
P082,Participant_82,user82@university.edu,Valorant,10,ATTACKER,97,LEADER
P083,Participant_83,user83@university.edu,DOTA 2,10,DEFENDER,75,BALANCED
P084,Participant_84,user84@university.edu,FIFA,5,SUPPORTER,63,THINKER
P085,Participant_85,user85@university.edu,Basketball,10,COORDINATOR,98,LEADER
P086,Participant_86,user86@university.edu,FIFA,9,STRATEGIST,89,BALANCED
P087,Participant_87,user87@university.edu,Basketball,4,ATTACKER,51,THINKER
P088,Participant_88,user88@university.edu,FIFA,4,DEFENDER,92,LEADER
P089,Participant_89,user89@university.edu,Chess,6,SUPPORTER,75,BALANCED
P090,Participant_90,user90@university.edu,Chess,5,COORDINATOR,62,THINKER
P092,Participant_92,user92@university.edu,Basketball,7,ATTACKER,70,BALANCED
P093,Participant_93,user93@university.edu,CS:GO,4,DEFENDER,51,THINKER
P094,Participant_94,user94@university.edu,CS:GO,2,SUPPORTER,98,LEADER
P095,Participant_95,user95@university.edu,CS:GO,2,COORDINATOR,84,BALANCED
P096,Participant_96,user96@university.edu,DOTA 2,8,STRATEGIST,56,THINKER
P097,Participant_97,user97@university.edu,FIFA,3,ATTACKER,96,LEADER
P098,Participant_98,user98@university.edu,CS:GO,5,DEFENDER,83,BALANCED
P099,Participant_99,user99@university.edu,Valorant,3,SUPPORTER,66,THINKER
P100,Participant_100,user100@university.edu,CS:GO,7,COORDINATOR,97,LEADER
2,savinu,iwdhbxoasxhwb@university.edu,valorant,5,STRATEGIST,80,BALANCED
P1001,Savinu,user101@university.edu,valorant,3,STRATEGIST,80,BALANCED
