ID,Name,Email,PreferredGame,SkillLevel,Role,PersonalityScore,PersonalityType
P079,Participant_79,user79@university.edu,Chess,5,SUPPORTER,97,LEADER
P080,Participant_80,user80@university.edu,Basketball,1,COORDINATOR,82,BALANCED
P081,Participant_81,user81@university.edu,FIFA,10,STRATEGIST,52,THINKER
P082,Participant_82,user82@university.edu,Valorant,10,ATTACKER,97,LEADER
P083,Participant_83,user83@university.edu,DOTA 2,10,DEFENDER,75,BALANCED
P084,Participant_84,user84@university.edu,FIFA,5,SUPPORTER,63,THINKER
P085,Participant_85,user85@university.edu,Basketball,10,COORDINATOR,98,LEADER
P086,Participant_86,user86@university.edu,FIFA,9,STRATEGIST,89,BALANCED
P087,Participant_87,user87@university.edu,Basketball,4,ATTACKER,51,THINKER
P088,Participant_88,user88@university.edu,FIFA,4,DEFENDER,92,LEADER
P089,Participant_89,user89@university.edu,Chess,6,SUPPORTER,75,BALANCED
P090,Participant_90,user90@university.edu,Chess,5,COORDINATOR,62,THINKER
P091,Participant_91,user91@university.edu,FIFA,10,STRATEGIST,98,LEADER
P092,Participant_92,user92@university.edu,Basketball,7,ATTACKER,70,BALANCED
P093,Participant_93,user93@university.edu,CS:GO,4,DEFENDER,51,THINKER
P094,Participant_94,user94@university.edu,CS:GO,2,SUPPORTER,98,LEADER
P095,Participant_95,user95@university.edu,CS:GO,2,COORDINATOR,84,BALANCED
P096,Participant_96,user96@university.edu,DOTA 2,8,STRATEGIST,56,THINKER
P097,Participant_97,user97@university.edu,FIFA,3,ATTACKER,96,LEADER
P098,Participant_98,user98@university.edu,CS:GO,5,DEFENDER,83,BALANCED
P099,Participant_99,user99@university.edu,Valorant,3,SUPPORTER,66,THINKER
P100,Participant_100,user100@university.edu,CS:GO,7,COORDINATOR,97,LEADER
P101,Participant_101,user101@university.edu,Valorant,6,STRATEGIST,88,BALANCED
P102,Participant_102,user102@university.edu,FIFA,9,ATTACKER,59,THINKER
P103,Participant_103,user103@university.edu,DOTA 2,3,DEFENDER,94,LEADER
P104,Participant_104,user104@university.edu,Basketball,7,SUPPORTER,76,BALANCED
P105,Participant_105,user105@university.edu,Chess,4,COORDINATOR,61,THINKER
P106,Participant_106,user106@university.edu,CS:GO,8,STRATEGIST,99,LEADER
P107,Participant_107,user107@university.edu,Valorant,2,ATTACKER,81,BALANCED
P108,Participant_108,user108@university.edu,FIFA,5,DEFENDER,67,THINKER
P109,Participant_109,user109@university.edu,DOTA 2,9,SUPPORTER,93,LEADER
P110,Participant_110,user110@university.edu,Basketball,6,COORDINATOR,74,BALANCED
P111,Participant_111,user111@university.edu,Chess,3,STRATEGIST,58,THINKER
P112,Participant_112,user112@university.edu,CS:GO,7,ATTACKER,96,LEADER
P113,Participant_113,user113@university.edu,Valorant,4,DEFENDER,79,BALANCED
P114,Participant_114,user114@university.edu,FIFA,8,SUPPORTER,64,THINKER
P115,Participant_115,user115@university.edu,DOTA 2,1,COORDINATOR,91,LEADER
P116,Participant_116,user116@university.edu,Basketball,5,STRATEGIST,87,BALANCED
P117,Participant_117,user117@university.edu,Chess,10,ATTACKER,55,THINKER
P118,Participant_118,user118@university.edu,CS:GO,2,DEFENDER,98,LEADER
P119,Participant_119,user119@university.edu,Valorant,6,SUPPORTER,73,BALANCED
P120,Participant_120,user120@university.edu,FIFA,9,COORDINATOR,69,THINKER
P121,Participant_121,user121@university.edu,DOTA 2,4,STRATEGIST,95,LEADER
P122,Participant_122,user122@university.edu,Basketball,7,ATTACKER,80,BALANCED
P123,Participant_123,user123@university.edu,Chess,3,DEFENDER,56,THINKER
P124,Participant_124,user124@university.edu,CS:GO,8,SUPPORTER,92,LEADER
P125,Participant_125,user125@university.edu,Valorant,5,COORDINATOR,78,BALANCED
P126,Participant_126,user126@university.edu,FIFA,1,STRATEGIST,65,THINKER
P127,Participant_127,user127@university.edu,DOTA 2,10,ATTACKER,100,LEADER
P128,Participant_128,user128@university.edu,Basketball,6,DEFENDER,85,BALANCED
P129,Participant_129,user129@university.edu,Chess,2,SUPPORTER,62,THINKER
P130,Participant_130,user130@university.edu,CS:GO,9,COORDINATOR,94,LEADER
P131,Participant_131,user131@university.edu,Valorant,4,STRATEGIST,71,BALANCED
P132,Participant_132,user132@university.edu,FIFA,7,ATTACKER,58,THINKER
P133,Participant_133,user133@university.edu,DOTA 2,3,DEFENDER,97,LEADER
P134,Participant_134,user134@university.edu,Basketball,8,SUPPORTER,83,BALANCED
P135,Participant_135,user135@university.edu,Chess,5,COORDINATOR,60,THINKER
P136,Participant_136,user136@university.edu,CS:GO,1,STRATEGIST,89,LEADER
P137,Participant_137,user137@university.edu,Valorant,10,ATTACKER,76,BALANCED
P138,Participant_138,user138@university.edu,FIFA,6,DEFENDER,63,THINKER
P139,Participant_139,user139@university.edu,DOTA 2,2,SUPPORTER,95,LEADER
P140,Participant_140,user140@university.edu,Basketball,9,COORDINATOR,72,BALANCED
P141,Participant_141,user141@university.edu,Chess,4,STRATEGIST,59,THINKER
P142,Participant_142,user142@university.edu,CS:GO,7,ATTACKER,91,LEADER
P143,Participant_143,user143@university.edu,Valorant,3,DEFENDER,88,BALANCED
P144,Participant_144,user144@university.edu,FIFA,8,SUPPORTER,66,THINKER
P145,Participant_145,user145@university.edu,DOTA 2,5,COORDINATOR,93,LEADER
P146,Participant_146,user146@university.edu,Basketball,1,STRATEGIST,79,BALANCED
P147,Participant_147,user147@university.edu,Chess,6,ATTACKER,57,THINKER
P148,Participant_148,user148@university.edu,CS:GO,10,DEFENDER,96,LEADER
P149,Participant_149,user149@university.edu,Valorant,2,SUPPORTER,84,BALANCED
P150,Participant_150,user150@university.edu,FIFA,4,COORDINATOR,61,THINKER
P151,Participant_151,user151@university.edu,DOTA 2,7,STRATEGIST,99,LEADER
P152,Participant_152,user152@university.edu,Basketball,9,ATTACKER,75,BALANCED
P153,Participant_153,user153@university.edu,Chess,3,DEFENDER,68,THINKER
P154,Participant_154,user154@university.edu,CS:GO,6,SUPPORTER,90,LEADER
P155,Participant_155,user155@university.edu,Valorant,8,COORDINATOR,77,BALANCED
P156,Participant_156,user156@university.edu,FIFA,5,STRATEGIST,54,THINKER
P157,Participant_157,user157@university.edu,DOTA 2,1,ATTACKER,98,LEADER
P158,Participant_158,user158@university.edu,Basketball,10,DEFENDER,86,BALANCED
P159,Participant_159,user159@university.edu,Chess,4,SUPPORTER,64,THINKER
P160,Participant_160,user160@university.edu,CS:GO,2,COORDINATOR,92,LEADER
P161,Participant_161,user161@university.edu,Valorant,7,STRATEGIST,73,BALANCED
P162,Participant_162,user162@university.edu,FIFA,9,ATTACKER,56,THINKER
P163,Participant_163,user163@university.edu,DOTA 2,6,DEFENDER,95,LEADER
P164,Participant_164,user164@university.edu,Basketball,3,SUPPORTER,82,BALANCED
P165,Participant_165,user165@university.edu,Chess,8,COORDINATOR,69,THINKER
P166,Participant_166,user166@university.edu,CS:GO,5,STRATEGIST,100,LEADER
P167,Participant_167,user167@university.edu,Valorant,1,ATTACKER,78,BALANCED
P168,Participant_168,user168@university.edu,FIFA,10,DEFENDER,65,THINKER
P169,Participant_169,user169@university.edu,DOTA 2,4,SUPPORTER,91,LEADER
P170,Participant_170,user170@university.edu,Basketball,7,COORDINATOR,87,BALANCED
P171,Participant_171,user171@university.edu,Chess,2,STRATEGIST,62,THINKER
P172,Participant_172,user172@university.edu,CS:GO,9,ATTACKER,97,LEADER
P173,Participant_173,user173@university.edu,Valorant,6,DEFENDER,74,BALANCED
P174,Participant_174,user174@university.edu,FIFA,3,SUPPORTER,58,THINKER
P175,Participant_175,user175@university.edu,DOTA 2,8,COORDINATOR,94,LEADER
P176,Participant_176,user176@university.edu,Basketball,5,STRATEGIST,81,BALANCED
P177,Participant_177,user177@university.edu,Chess,1,ATTACKER,67,THINKER
P178,Participant_178,user178@university.edu,CS:GO,10,DEFENDER,99,LEADER
P179,Participant_179,user179@university.edu,Valorant,4,SUPPORTER,76,BALANCED
P180,Participant_180,user180@university.edu,FIFA,7,COORDINATOR,63,THINKER
P181,Participant_181,user181@university.edu,DOTA 2,2,STRATEGIST,96,LEADER
P182,Participant_182,user182@university.edu,Basketball,9,ATTACKER,83,BALANCED
P183,Participant_183,user183@university.edu,Chess,6,DEFENDER,60,THINKER
P184,Participant_184,user184@university.edu,CS:GO,3,SUPPORTER,93,LEADER
P185,Participant_185,user185@university.edu,Valorant,8,COORDINATOR,70,BALANCED
P186,Participant_186,user186@university.edu,FIFA,5,STRATEGIST,55,THINKER
P187,Participant_187,user187@university.edu,DOTA 2,1,ATTACKER,98,LEADER
P188,Participant_188,user188@university.edu,Basketball,10,DEFENDER,85,BALANCED
P189,Participant_189,user189@university.edu,Chess,4,SUPPORTER,66,THINKER
P190,Participant_190,user190@university.edu,CS:GO,7,COORDINATOR,92,LEADER
P191,Participant_191,user191@university.edu,Valorant,2,STRATEGIST,79,BALANCED
P192,Participant_192,user192@university.edu,FIFA,9,ATTACKER,61,THINKER
P193,Participant_193,user193@university.edu,DOTA 2,6,DEFENDER,100,LEADER
P194,Participant_194,user194@university.edu,Basketball,3,SUPPORTER,88,BALANCED
P195,Participant_195,user195@university.edu,Chess,8,COORDINATOR,64,THINKER
P196,Participant_196,user196@university.edu,CS:GO,5,STRATEGIST,95,LEADER
P197,Participant_197,user197@university.edu,Valorant,1,ATTACKER,72,BALANCED
P198,Participant_198,user198@university.edu,FIFA,10,DEFENDER,59,THINKER
P199,Participant_199,user199@university.edu,DOTA 2,4,SUPPORTER,90,LEADER
P200,Participant_200,user200@university.edu,Basketball,7,COORDINATOR,86,BALANCED
